Year,Units,État des stocks,Région,Groupe de stocks,Value
2021,Nombre,Zone critique,Canada,Mollusques,1.0
2021,Nombre,Zone critique,Canada,Autres,0.0
2022,Nombre,État incertain,Canada,Mammifères marins,15.0
2022,Nombre,État incertain,Canada,Poissons de fond,15.0
2022,Nombre,État incertain,Canada,Petits poissons pélagiques,13.0
2022,Nombre,État incertain,Canada,Grands poissons pélagiques,1.0
2022,Nombre,État incertain,Canada,Salmonidés,7.0
2022,Nombre,État incertain,Canada,Crustacés,18.0
2022,Nombre,État incertain,Canada,Mollusques,10.0
2022,Nombre,État incertain,Canada,Autres,3.0
2021,Nombre,État incertain,Canada,Mammifères marins,15.0
2021,Nombre,État incertain,Canada,Poissons de fond,14.0
2021,Nombre,État incertain,Canada,Petits poissons pélagiques,10.0
2021,Nombre,État incertain,Canada,Grands poissons pélagiques,1.0
2021,Nombre,État incertain,Canada,Salmonidés,6.0
2021,Nombre,État incertain,Canada,Crustacés,18.0
2021,Nombre,État incertain,Canada,Mollusques,10.0
2021,Nombre,État incertain,Canada,Autres,3.0
2022,Pourcentage,Zone saine,Canada,Mammifères marins,0.117647058823529
2022,Pourcentage,Zone saine,Canada,Poissons de fond,0.333333333333333
2022,Pourcentage,Zone saine,Canada,Petits poissons pélagiques,0.0833333333333333
2022,Pourcentage,Zone saine,Canada,Grands poissons pélagiques,0.5
2022,Pourcentage,Zone saine,Canada,Salmonidés,0.2
2022,Pourcentage,Zone saine,Canada,Crustacés,0.576923076923077
2022,Pourcentage,Zone saine,Canada,Mollusques,0.333333333333333
2022,Pourcentage,Zone saine,Canada,Autres,0.5
2021,Pourcentage,Zone saine,Canada,Mammifères marins,0.117647058823529
2021,Pourcentage,Zone saine,Canada,Poissons de fond,0.346153846153846
2021,Pourcentage,Zone saine,Canada,Petits poissons pélagiques,0.05
2021,Pourcentage,Zone saine,Canada,Grands poissons pélagiques,0.666666666666667
2021,Pourcentage,Zone saine,Canada,Salmonidés,0.208333333333333
2021,Pourcentage,Zone saine,Canada,Crustacés,0.557692307692308
2021,Pourcentage,Zone saine,Canada,Mollusques,0.333333333333333
2021,Pourcentage,Zone saine,Canada,Autres,0.666666666666667
2022,Pourcentage,Zone de prudence,Canada,Mammifères marins,0.0
2022,Pourcentage,Zone de prudence,Canada,Poissons de fond,0.156862745098039
2022,Pourcentage,Zone de prudence,Canada,Petits poissons pélagiques,0.208333333333333
2022,Pourcentage,Zone de prudence,Canada,Grands poissons pélagiques,0.0
2022,Pourcentage,Zone de prudence,Canada,Salmonidés,0.32
2022,Pourcentage,Zone de prudence,Canada,Crustacés,0.0384615384615385
2022,Pourcentage,Zone de prudence,Canada,Mollusques,0.0555555555555556
2022,Pourcentage,Zone de prudence,Canada,Autres,0.0
2021,Pourcentage,Zone de prudence,Canada,Mammifères marins,0.0
2021,Pourcentage,Zone de prudence,Canada,Poissons de fond,0.173076923076923
2021,Pourcentage,Zone de prudence,Canada,Petits poissons pélagiques,0.25
2021,Pourcentage,Zone de prudence,Canada,Grands poissons pélagiques,0.0
2021,Pourcentage,Zone de prudence,Canada,Salmonidés,0.375
2021,Pourcentage,Zone de prudence,Canada,Crustacés,0.0576923076923077
2021,Pourcentage,Zone de prudence,Canada,Mollusques,0.0555555555555556
2021,Pourcentage,Zone de prudence,Canada,Autres,0.0
2022,Pourcentage,Zone critique,Canada,Mammifères marins,0.0
2022,Pourcentage,Zone critique,Canada,Poissons de fond,0.215686274509804
2022,Pourcentage,Zone critique,Canada,Petits poissons pélagiques,0.166666666666667
2022,Pourcentage,Zone critique,Canada,Grands poissons pélagiques,0.0
2022,Pourcentage,Zone critique,Canada,Salmonidés,0.2
2022,Pourcentage,Zone critique,Canada,Crustacés,0.0384615384615385
2022,Pourcentage,Zone critique,Canada,Mollusques,0.0555555555555556
2022,Pourcentage,Zone critique,Canada,Autres,0.0
2021,Pourcentage,Zone critique,Canada,Mammifères marins,0.0
2021,Pourcentage,Zone critique,Canada,Poissons de fond,0.211538461538462
2021,Pourcentage,Zone critique,Canada,Petits poissons pélagiques,0.2
2021,Pourcentage,Zone critique,Canada,Grands poissons pélagiques,0.0
2021,Pourcentage,Zone critique,Canada,Salmonidés,0.166666666666667
2021,Pourcentage,Zone critique,Canada,Crustacés,0.0384615384615385
2021,Pourcentage,Zone critique,Canada,Mollusques,0.0555555555555556
2021,Pourcentage,Zone critique,Canada,Autres,0.0
2022,Pourcentage,État incertain,Canada,Mammifères marins,0.882352941176471
2022,Pourcentage,État incertain,Canada,Poissons de fond,0.294117647058824
2022,Pourcentage,État incertain,Canada,Petits poissons pélagiques,0.541666666666667
2022,Pourcentage,État incertain,Canada,Grands poissons pélagiques,0.5
2022,Pourcentage,État incertain,Canada,Salmonidés,0.28
2022,Pourcentage,État incertain,Canada,Crustacés,0.346153846153846
2022,Pourcentage,État incertain,Canada,Mollusques,0.555555555555556
2022,Pourcentage,État incertain,Canada,Autres,0.5
2021,Pourcentage,État incertain,Canada,Mammifères marins,0.882352941176471
2021,Pourcentage,État incertain,Canada,Poissons de fond,0.269230769230769
2021,Pourcentage,État incertain,Canada,Petits poissons pélagiques,0.5
2021,Pourcentage,État incertain,Canada,Grands poissons pélagiques,0.333333333333333
2021,Pourcentage,État incertain,Canada,Salmonidés,0.25
2021,Pourcentage,État incertain,Canada,Crustacés,0.346153846153846
2021,Pourcentage,État incertain,Canada,Mollusques,0.555555555555556
2021,Pourcentage,État incertain,Canada,Autres,0.333333333333333
2022,Nombre,Zone de prudence et la zone saine,Canada,Mammifères marins,2.0
2022,Nombre,Zone de prudence et la zone saine,Canada,Poissons de fond,25.0
2022,Nombre,Zone de prudence et la zone saine,Canada,Petits poissons pélagiques,7.0
2022,Nombre,Zone de prudence et la zone saine,Canada,Grands poissons pélagiques,1.0
2022,Nombre,Zone de prudence et la zone saine,Canada,Salmonidés,13.0
2022,Nombre,Zone de prudence et la zone saine,Canada,Crustacés,32.0
2022,Nombre,Zone de prudence et la zone saine,Canada,Mollusques,7.0
2022,Nombre,Zone de prudence et la zone saine,Canada,Autres,3.0
2021,Nombre,Zone de prudence et la zone saine,Canada,Mammifères marins,2.0
2021,Nombre,Zone de prudence et la zone saine,Canada,Poissons de fond,27.0
2021,Nombre,Zone de prudence et la zone saine,Canada,Petits poissons pélagiques,6.0
2021,Nombre,Zone de prudence et la zone saine,Canada,Grands poissons pélagiques,2.0
2021,Nombre,Zone de prudence et la zone saine,Canada,Salmonidés,14.0
2021,Nombre,Zone de prudence et la zone saine,Canada,Crustacés,32.0
2021,Nombre,Zone de prudence et la zone saine,Canada,Mollusques,7.0
2021,Nombre,Zone de prudence et la zone saine,Canada,Autres,6.0
2022,Pourcentage,Zone de prudence et la zone saine,Canada,Mammifères marins,0.117647058823529
2022,Pourcentage,Zone de prudence et la zone saine,Canada,Poissons de fond,0.490196078431373
2022,Pourcentage,Zone de prudence et la zone saine,Canada,Petits poissons pélagiques,0.291666666666667
2022,Pourcentage,Zone de prudence et la zone saine,Canada,Grands poissons pélagiques,0.5
2022,Pourcentage,Zone de prudence et la zone saine,Canada,Salmonidés,0.52
2022,Pourcentage,Zone de prudence et la zone saine,Canada,Crustacés,0.615384615384615
2022,Pourcentage,Zone de prudence et la zone saine,Canada,Mollusques,0.388888888888889
2022,Pourcentage,Zone de prudence et la zone saine,Canada,Autres,0.5
2021,Pourcentage,Zone de prudence et la zone saine,Canada,Mammifères marins,0.117647058823529
2021,Pourcentage,Zone de prudence et la zone saine,Canada,Poissons de fond,0.519230769230769
2021,Pourcentage,Zone de prudence et la zone saine,Canada,Petits poissons pélagiques,0.3
2021,Pourcentage,Zone de prudence et la zone saine,Canada,Grands poissons pélagiques,0.666666666666667
2021,Pourcentage,Zone de prudence et la zone saine,Canada,Salmonidés,0.583333333333333
2021,Pourcentage,Zone de prudence et la zone saine,Canada,Crustacés,0.615384615384615
2021,Pourcentage,Zone de prudence et la zone saine,Canada,Mollusques,0.388888888888889
2021,Pourcentage,Zone de prudence et la zone saine,Canada,Autres,0.666666666666667
