Year,Geography,Age group,Gender,Economic family type,GeoCode,Value
2020,Alberta,,All genders,Non-seniors not in an economic family,48,23.0
2020,Alberta,,Man+,Non-seniors not in an economic family,48,20.6
2020,Alberta,,Woman+,Non-seniors not in an economic family,48,26.7
2021,Alberta,Total,All genders,Total,48,8.5
2021,Alberta,Under 18 years,All genders,Total,48,8.2
2021,Alberta,18 to 64 years,All genders,Total,48,9.2
2021,Alberta,65 years and over,All genders,Total,48,6.2
2021,Alberta,Total,Man+,Total,48,8.3
2021,Alberta,Under 18 years,Man+,Total,48,7.7
2021,Alberta,18 to 64 years,Man+,Total,48,9.0
2021,Alberta,65 years and over,Man+,Total,48,5.9
2021,Alberta,Total,Woman+,Total,48,8.8
2021,Alberta,Under 18 years,Woman+,Total,48,8.7
2021,Alberta,18 to 64 years,Woman+,Total,48,9.4
2021,Alberta,65 years and over,Woman+,Total,48,6.5
2021,Alberta,Total,All genders,Persons in economic families,48,5.4
2021,Alberta,Total,Man+,Persons in economic families,48,5.0
2021,Alberta,Total,Woman+,Persons in economic families,48,5.9
2021,Alberta,65 years and over,All genders,Seniors in economic families,48,2.5
2021,Alberta,65 years and over,Man+,Seniors in economic families,48,2.7
2021,Alberta,Under 18 years,All genders,Persons in economic families,48,8.1
2021,Alberta,Under 18 years,All genders,Persons in couple families with children,48,5.2
2021,Alberta,18 to 64 years,All genders,Persons in economic families,48,4.9
2021,Alberta,18 to 64 years,Man+,Persons in economic families,48,4.3
2021,Alberta,18 to 64 years,Woman+,Persons in economic families,48,5.5
2021,Alberta,Total,All genders,Persons not in an economic family,48,25.2
2021,Alberta,Total,Man+,Persons not in an economic family,48,25.3
2021,Alberta,Total,Woman+,Persons not in an economic family,48,25.1
2021,Alberta,65 years and over,All genders,Seniors not in an economic family,48,16.9
2021,Alberta,65 years and over,Man+,Seniors not in an economic family,48,19.9
2021,Alberta,65 years and over,Woman+,Seniors not in an economic family,48,15.3
2021,Alberta,,All genders,Non-seniors not in an economic family,48,27.8
2021,Alberta,,Man+,Non-seniors not in an economic family,48,26.3
2021,Alberta,,Woman+,Non-seniors not in an economic family,48,29.7
2022,Alberta,Total,All genders,Total,48,10.7
2022,Alberta,Under 18 years,All genders,Total,48,12.3
2022,Alberta,18 to 64 years,All genders,Total,48,11.1
2022,Alberta,65 years and over,All genders,Total,48,6.3
2022,Alberta,Total,Man+,Total,48,10.0
2022,Alberta,Under 18 years,Man+,Total,48,11.5
2022,Alberta,18 to 64 years,Man+,Total,48,10.4
2022,Alberta,65 years and over,Man+,Total,48,6.0
2022,Alberta,Total,Woman+,Total,48,11.3
2022,Alberta,Under 18 years,Woman+,Total,48,13.2
2022,Alberta,18 to 64 years,Woman+,Total,48,11.8
2022,Alberta,65 years and over,Woman+,Total,48,6.6
2022,Alberta,Total,All genders,Persons in economic families,48,7.8
2022,Alberta,Total,Man+,Persons in economic families,48,7.1
2022,Alberta,Total,Woman+,Persons in economic families,48,8.5
2022,Alberta,65 years and over,All genders,Seniors in economic families,48,3.2
2022,Alberta,65 years and over,Man+,Seniors in economic families,48,3.2
2022,Alberta,65 years and over,Woman+,Seniors in economic families,48,3.1
2022,Alberta,Under 18 years,All genders,Persons in economic families,48,12.2
2022,Alberta,Under 18 years,All genders,Persons in couple families with children,48,8.2
2022,Alberta,Under 18 years,All genders,Persons in all other economic families,48,13.3
2022,Alberta,18 to 64 years,All genders,Persons in economic families,48,6.8
2022,Alberta,18 to 64 years,Man+,Persons in economic families,48,5.9
2022,Alberta,18 to 64 years,Woman+,Persons in economic families,48,7.8
2022,Alberta,Total,All genders,Persons not in an economic family,48,26.3
