Year,Geography,Product category,GeoCode,Value
2017,Prince Edward Island,Agriculture film,11,1.18
2017,Prince Edward Island,Textiles,11,1.05
2017,Prince Edward Island,Transportation vehicles,11,1.24
2017,Prince Edward Island,Other products,11,1.79
2017,Nova Scotia,"Total, all product categories",12,1.37
2017,Nova Scotia,Construction materials,12,1.18
2017,Nova Scotia,Electrical and electronic equipment,12,0.96
2017,Nova Scotia,Packaging,12,1.35
2017,Nova Scotia,Agriculture film,12,1.18
2017,Nova Scotia,Textiles,12,1.09
2017,Nova Scotia,Transportation vehicles,12,1.24
2017,Nova Scotia,Other products,12,1.81
2017,New Brunswick,"Total, all product categories",13,1.39
2017,New Brunswick,Construction materials,13,1.18
2017,New Brunswick,Electrical and electronic equipment,13,0.99
2017,New Brunswick,Packaging,13,1.35
2017,New Brunswick,Agriculture film,13,1.18
2017,New Brunswick,Textiles,13,1.08
2017,New Brunswick,Transportation vehicles,13,1.24
2017,New Brunswick,Other products,13,1.79
2017,Quebec,"Total, all product categories",24,1.39
2017,Quebec,Construction materials,24,1.17
2017,Quebec,Electrical and electronic equipment,24,0.99
2017,Quebec,Packaging,24,1.35
2017,Quebec,Agriculture film,24,1.19
2017,Quebec,Textiles,24,1.09
2017,Quebec,Transportation vehicles,24,1.23
2017,Quebec,Other products,24,1.83
2017,Ontario,"Total, all product categories",35,1.41
2017,Ontario,Construction materials,35,1.17
2017,Ontario,Electrical and electronic equipment,35,1.0
2017,Ontario,Packaging,35,1.35
2017,Ontario,Agriculture film,35,1.2
2017,Ontario,Textiles,35,1.09
2017,Ontario,Transportation vehicles,35,1.25
2017,Ontario,Other products,35,1.82
2017,Manitoba,"Total, all product categories",46,1.4
2017,Manitoba,Construction materials,46,1.16
2017,Manitoba,Electrical and electronic equipment,46,0.98
2017,Manitoba,Packaging,46,1.35
2017,Manitoba,Agriculture film,46,1.19
2017,Manitoba,Textiles,46,1.09
2017,Manitoba,Transportation vehicles,46,1.23
2017,Manitoba,Other products,46,1.83
2017,Saskatchewan,"Total, all product categories",47,1.38
2017,Saskatchewan,Construction materials,47,1.17
2017,Saskatchewan,Electrical and electronic equipment,47,0.99
2017,Saskatchewan,Packaging,47,1.35
2017,Saskatchewan,Agriculture film,47,1.2
2017,Saskatchewan,Textiles,47,1.09
2017,Saskatchewan,Transportation vehicles,47,1.24
2017,Saskatchewan,Other products,47,1.77
