Year,data.Geography,data.Industry,Value
2016,data.Saskatchewan,data.Manufacturing [BS3A0],1.8229557
2017,data.Saskatchewan,data.Manufacturing [BS3A0],1.3164274
2018,data.Saskatchewan,data.Manufacturing [BS3A0],2.3249149
2019,data.Saskatchewan,data.Manufacturing [BS3A0],1.805264
2015,data.Saskatchewan,"data.Professional, scientific and technical services [BS540]",2.929776
2016,data.Saskatchewan,"data.Professional, scientific and technical services [BS540]",3.1511254
2017,data.Saskatchewan,"data.Professional, scientific and technical services [BS540]",5.2847945
2018,data.Saskatchewan,"data.Professional, scientific and technical services [BS540]",3.2326733
2019,data.Saskatchewan,"data.Professional, scientific and technical services [BS540]",3.7349693
2015,data.Saskatchewan,"data.Administrative and support, waste management and remediation services [BS560]",8.6996198
2016,data.Saskatchewan,"data.Administrative and support, waste management and remediation services [BS560]",9.7055838
2017,data.Saskatchewan,"data.Administrative and support, waste management and remediation services [BS560]",9.1409635
2018,data.Saskatchewan,"data.Administrative and support, waste management and remediation services [BS560]",9.5449949
2019,data.Saskatchewan,"data.Administrative and support, waste management and remediation services [BS560]",8.8087935
2015,data.Saskatchewan,data.Other industries,0.4090455
2016,data.Saskatchewan,data.Other industries,0.4191715
2017,data.Saskatchewan,data.Other industries,0.5157549
2018,data.Saskatchewan,data.Other industries,0.4187227
2019,data.Saskatchewan,data.Other industries,0.4144085
2015,data.Alberta,"data.Total, all industries",1.1422049
2016,data.Alberta,"data.Total, all industries",1.2498632
2017,data.Alberta,"data.Total, all industries",1.3718227
2018,data.Alberta,"data.Total, all industries",1.2752063
2019,data.Alberta,"data.Total, all industries",1.3165713
2015,data.Alberta,data.Utilities [BS220],5.7495373
2016,data.Alberta,data.Utilities [BS220],6.6117879
2017,data.Alberta,data.Utilities [BS220],6.8147208
2018,data.Alberta,data.Utilities [BS220],8.5446009
2019,data.Alberta,data.Utilities [BS220],8.5200379
2015,data.Alberta,data.Engineering construction [BS23C],1.7901019
2016,data.Alberta,data.Engineering construction [BS23C],2.5164744
2017,data.Alberta,data.Engineering construction [BS23C],2.5458738
2018,data.Alberta,data.Engineering construction [BS23C],2.5008778
2019,data.Alberta,data.Engineering construction [BS23C],2.7944104
2015,data.Alberta,data.Manufacturing [BS3A0],1.35363
2016,data.Alberta,data.Manufacturing [BS3A0],1.388449
2017,data.Alberta,data.Manufacturing [BS3A0],1.7722952
2018,data.Alberta,data.Manufacturing [BS3A0],1.9254032
2019,data.Alberta,data.Manufacturing [BS3A0],1.7300932
2015,data.Alberta,"data.Professional, scientific and technical services [BS540]",3.5667304
2016,data.Alberta,"data.Professional, scientific and technical services [BS540]",3.8443098
2017,data.Alberta,"data.Professional, scientific and technical services [BS540]",5.0088921
2018,data.Alberta,"data.Professional, scientific and technical services [BS540]",3.5271637
2019,data.Alberta,"data.Professional, scientific and technical services [BS540]",3.8432608
2015,data.Alberta,"data.Administrative and support, waste management and remediation services [BS560]",6.3264867
2016,data.Alberta,"data.Administrative and support, waste management and remediation services [BS560]",7.0444989
2017,data.Alberta,"data.Administrative and support, waste management and remediation services [BS560]",7.78649
2018,data.Alberta,"data.Administrative and support, waste management and remediation services [BS560]",8.47712
2019,data.Alberta,"data.Administrative and support, waste management and remediation services [BS560]",8.7934015
2015,data.Alberta,data.Other industries,0.376857
2016,data.Alberta,data.Other industries,0.3668595
2017,data.Alberta,data.Other industries,0.4277981
2018,data.Alberta,data.Other industries,0.3653914
2019,data.Alberta,data.Other industries,0.362923
2015,data.British Columbia,"data.Total, all industries",1.5086028
2016,data.British Columbia,"data.Total, all industries",1.4401199
2017,data.British Columbia,"data.Total, all industries",1.5964448
2018,data.British Columbia,"data.Total, all industries",1.5369666
2019,data.British Columbia,"data.Total, all industries",1.5842058
2015,data.British Columbia,data.Utilities [BS220],57.9577465
2016,data.British Columbia,data.Utilities [BS220],53.1391261
2017,data.British Columbia,data.Utilities [BS220],64.6067986
2018,data.British Columbia,data.Utilities [BS220],73.4795918
2019,data.British Columbia,data.Utilities [BS220],77.3066522
2015,data.British Columbia,data.Engineering construction [BS23C],3.8131544
2016,data.British Columbia,data.Engineering construction [BS23C],3.9076792
2017,data.British Columbia,data.Engineering construction [BS23C],4.132713
2018,data.British Columbia,data.Engineering construction [BS23C],3.1041828
2019,data.British Columbia,data.Engineering construction [BS23C],3.3270001
2015,data.British Columbia,data.Manufacturing [BS3A0],3.2347876
2016,data.British Columbia,data.Manufacturing [BS3A0],3.1638304
2017,data.British Columbia,data.Manufacturing [BS3A0],3.8596837
2018,data.British Columbia,data.Manufacturing [BS3A0],3.4160776
2019,data.British Columbia,data.Manufacturing [BS3A0],3.4192801
2015,data.British Columbia,"data.Professional, scientific and technical services [BS540]",3.0448507
2016,data.British Columbia,"data.Professional, scientific and technical services [BS540]",3.1560361
2017,data.British Columbia,"data.Professional, scientific and technical services [BS540]",3.5980706
2018,data.British Columbia,"data.Professional, scientific and technical services [BS540]",3.6197621
2019,data.British Columbia,"data.Professional, scientific and technical services [BS540]",4.0080872
2015,data.British Columbia,"data.Administrative and support, waste management and remediation services [BS560]",5.2794055
2016,data.British Columbia,"data.Administrative and support, waste management and remediation services [BS560]",4.9385093
2017,data.British Columbia,"data.Administrative and support, waste management and remediation services [BS560]",5.0891354
2018,data.British Columbia,"data.Administrative and support, waste management and remediation services [BS560]",5.1267582
2019,data.British Columbia,"data.Administrative and support, waste management and remediation services [BS560]",5.2340652
2015,data.British Columbia,data.Other industries,0.3694136
2016,data.British Columbia,data.Other industries,0.3736316
2017,data.British Columbia,data.Other industries,0.3874503
2018,data.British Columbia,data.Other industries,0.4013189
2019,data.British Columbia,data.Other industries,0.3911451
2015,data.Yukon,"data.Total, all industries",1.309631
2016,data.Yukon,"data.Total, all industries",1.1505312
2017,data.Yukon,"data.Total, all industries",1.2602322
2018,data.Yukon,"data.Total, all industries",1.1939729
2019,data.Yukon,"data.Total, all industries",1.2
2015,data.Yukon,data.Utilities [BS220],82.1052632
2016,data.Yukon,data.Utilities [BS220],82.6086957
2017,data.Yukon,data.Utilities [BS220],79.2307692
2018,data.Yukon,data.Utilities [BS220],72.3076923
2019,data.Yukon,data.Utilities [BS220],71.5384615
2015,data.Yukon,data.Engineering construction [BS23C],9.3280632
2016,data.Yukon,data.Engineering construction [BS23C],6.1386139
2017,data.Yukon,data.Engineering construction [BS23C],4.3478261
2018,data.Yukon,data.Engineering construction [BS23C],2.9501085
2019,data.Yukon,data.Engineering construction [BS23C],3.1355932
2015,data.Yukon,data.Manufacturing [BS3A0],
2016,data.Yukon,data.Manufacturing [BS3A0],
2017,data.Yukon,data.Manufacturing [BS3A0],
2018,data.Yukon,data.Manufacturing [BS3A0],
