"Year","Geography","Age group","Sex","Economic family type","GeoCode","Value"
2022,"Québec, Quebec","Under 18 years","Both sexes","Total",,3.6
2022,"Québec, Quebec","18 to 64 years","Both sexes","Total",,7.3
2022,"Québec, Quebec","65 years and over","Both sexes","Total",,2.7
2022,"Québec, Quebec","Total","Both sexes","Persons in economic families",,2.3
2022,"Québec, Quebec","Under 18 years","Both sexes","Persons in economic families",,3.6
2022,"Québec, Quebec","18 to 64 years","Both sexes","Persons in economic families",,2.2
2022,"Québec, Quebec","Total","Both sexes","Persons not in an economic family",,17
2022,"Québec, Quebec","65 years and over","Both sexes","Seniors not in an economic family",,6.2
2022,"Québec, Quebec","","Both sexes","Non-seniors not in an economic family",,22.4
2023,"Québec, Quebec","Total","Both sexes","Total",,5.2
2023,"Québec, Quebec","Under 18 years","Both sexes","Total",,2.8
2023,"Québec, Quebec","18 to 64 years","Both sexes","Total",,7.1
2023,"Québec, Quebec","65 years and over","Both sexes","Total",,2
2023,"Québec, Quebec","Total","Both sexes","Persons in economic families",,2.2
2023,"Québec, Quebec","Under 18 years","Both sexes","Persons in economic families",,2.7
2023,"Québec, Quebec","18 to 64 years","Both sexes","Persons in economic families",,2.5
2023,"Québec, Quebec","Total","Both sexes","Persons not in an economic family",,16.7
2023,"Québec, Quebec","65 years and over","Both sexes","Seniors not in an economic family",,5.3
2023,"Québec, Quebec","","Both sexes","Non-seniors not in an economic family",,23.1
2015,"Saskatchewan","Total","Both sexes","Total",47,12.2
2015,"Saskatchewan","Under 18 years","Both sexes","Total",47,16.7
2015,"Saskatchewan","18 to 64 years","Both sexes","Total",47,12
2015,"Saskatchewan","65 years and over","Both sexes","Total",47,6.1
2015,"Saskatchewan","Total","Both sexes","Persons in economic families",47,9.6
2015,"Saskatchewan","Under 18 years","Both sexes","Persons in economic families",47,16.6
2015,"Saskatchewan","Under 18 years","Both sexes","Persons in couple families with children",47,11.9
2015,"Saskatchewan","18 to 64 years","Both sexes","Persons in economic families",47,8.2
2015,"Saskatchewan","Total","Both sexes","Persons not in an economic family",47,26.3
2015,"Saskatchewan","65 years and over","Both sexes","Seniors not in an economic family",47,16.7
2015,"Saskatchewan","","Both sexes","Non-seniors not in an economic family",47,30
2016,"Saskatchewan","Total","Both sexes","Total",47,11.1
2016,"Saskatchewan","Under 18 years","Both sexes","Total",47,12.5
2016,"Saskatchewan","18 to 64 years","Both sexes","Total",47,11.6
2016,"Saskatchewan","65 years and over","Both sexes","Total",47,6.9
2016,"Saskatchewan","Total","Both sexes","Persons in economic families",47,8.3
2016,"Saskatchewan","Under 18 years","Both sexes","Persons in economic families",47,12.1
2016,"Saskatchewan","Under 18 years","Both sexes","Persons in couple families with children",47,8.1
2016,"Saskatchewan","18 to 64 years","Both sexes","Persons in economic families",47,7.7
2016,"Saskatchewan","Total","Both sexes","Persons not in an economic family",47,26.2
2016,"Saskatchewan","65 years and over","Both sexes","Seniors not in an economic family",47,15
2016,"Saskatchewan","","Both sexes","Non-seniors not in an economic family",47,31.3
2017,"Saskatchewan","Total","Both sexes","Total",47,11.9
2017,"Saskatchewan","Under 18 years","Both sexes","Total",47,14.4
2017,"Saskatchewan","18 to 64 years","Both sexes","Total",47,12.5
2017,"Saskatchewan","65 years and over","Both sexes","Total",47,5.5
2017,"Saskatchewan","Total","Both sexes","Persons in economic families",47,9.2
2017,"Saskatchewan","65 years and over","Both sexes","Seniors in economic families",47,2.6
2017,"Saskatchewan","Under 18 years","Both sexes","Persons in economic families",47,14.3
2017,"Saskatchewan","Under 18 years","Both sexes","Persons in couple families with children",47,8.9
2017,"Saskatchewan","Under 18 years","Both sexes","Persons in all other economic families",47,22
2017,"Saskatchewan","18 to 64 years","Both sexes","Persons in economic families",47,8.2
2017,"Saskatchewan","Total","Both sexes","Persons not in an economic family",47,26.8
2017,"Saskatchewan","65 years and over","Both sexes","Seniors not in an economic family",47,11.8
2017,"Saskatchewan","","Both sexes","Non-seniors not in an economic family",47,33.5
2018,"Saskatchewan","Total","Both sexes","Total",47,11
2018,"Saskatchewan","Under 18 years","Both sexes","Total",47,11.8
2018,"Saskatchewan","18 to 64 years","Both sexes","Total",47,12.3
2018,"Saskatchewan","65 years and over","Both sexes","Total",47,4.6
2018,"Saskatchewan","Total","Both sexes","Persons in economic families",47,8.1
2018,"Saskatchewan","65 years and over","Both sexes","Seniors in economic families",47,2.7
2018,"Saskatchewan","Under 18 years","Both sexes","Persons in economic families",47,11.8
2018,"Saskatchewan","Under 18 years","Both sexes","Persons in couple families with children",47,8.1
2018,"Saskatchewan","18 to 64 years","Both sexes","Persons in economic families",47,7.6
2018,"Saskatchewan","Total","Both sexes","Persons not in an economic family",47,26.1
2018,"Saskatchewan","65 years and over","Both sexes","Seniors not in an economic family",47,8.7
2018,"Saskatchewan","","Both sexes","Non-seniors not in an economic family",47,34.1
2019,"Saskatchewan","Total","Both sexes","Total",47,12.1
2019,"Saskatchewan","Under 18 years","Both sexes","Total",47,13
2019,"Saskatchewan","18 to 64 years","Both sexes","Total",47,13.3
2019,"Saskatchewan","65 years and over","Both sexes","Total",47,5.9
2019,"Saskatchewan","Total","Both sexes","Persons in economic families",47,8.8
2019,"Saskatchewan","65 years and over","Both sexes","Seniors in economic families",47,4.2
2019,"Saskatchewan","Under 18 years","Both sexes","Persons in economic families",47,12.3
2019,"Saskatchewan","Under 18 years","Both sexes","Persons in couple families with children",47,8.1
2019,"Saskatchewan","18 to 64 years","Both sexes","Persons in economic families",47,8.3
2019,"Saskatchewan","Total","Both sexes","Persons not in an economic family",47,29
2019,"Saskatchewan","65 years and over","Both sexes","Seniors not in an economic family",47,10.1
2019,"Saskatchewan","","Both sexes","Non-seniors not in an economic family",47,36.8
2020,"Saskatchewan","Total","Both sexes","Total",47,6.7
2020,"Saskatchewan","Under 18 years","Both sexes","Total",47,6.6
2020,"Saskatchewan","18 to 64 years","Both sexes","Total",47,7.7
2020,"Saskatchewan","65 years and over","Both sexes","Total",47,2.9
2020,"Saskatchewan","Total","Both sexes","Persons in economic families",47,4.1
2020,"Saskatchewan","65 years and over","Both sexes","Seniors in economic families",47,1.9
2020,"Saskatchewan","Under 18 years","Both sexes","Persons in economic families",47,6.4
2020,"Saskatchewan","Under 18 years","Both sexes","Persons in couple families with children",47,2.6
2020,"Saskatchewan","Under 18 years","Both sexes","Persons in all other economic families",47,14.5
2020,"Saskatchewan","18 to 64 years","Both sexes","Persons in economic families",47,3.6
2020,"Saskatchewan","Total","Both sexes","Persons not in an economic family",47,19.8
2020,"Saskatchewan","65 years and over","Both sexes","Seniors not in an economic family",47,5.1
2020,"Saskatchewan","","Both sexes","Non-seniors not in an economic family",47,27.3
2021,"Saskatchewan","Total","Both sexes","Total",47,9.1
2021,"Saskatchewan","Under 18 years","Both sexes","Total",47,8.5
2021,"Saskatchewan","18 to 64 years","Both sexes","Total",47,10.4
2021,"Saskatchewan","65 years and over","Both sexes","Total",47,5.5
2021,"Saskatchewan","Total","Both sexes","Persons in economic families",47,6.3
2021,"Saskatchewan","65 years and over","Both sexes","Seniors in economic families",47,2.4
2021,"Saskatchewan","Under 18 years","Both sexes","Persons in economic families",47,8.3
2021,"Saskatchewan","Under 18 years","Both sexes","Persons in couple families with children",47,4.2
2021,"Saskatchewan","18 to 64 years","Both sexes","Persons in economic families",47,6.3
2021,"Saskatchewan","Total","Both sexes","Persons not in an economic family",47,23.4
2021,"Saskatchewan","65 years and over","Both sexes","Seniors not in an economic family",47,12.2
2021,"Saskatchewan","","Both sexes","Non-seniors not in an economic family",47,29
2022,"Saskatchewan","Total","Both sexes","Total",47,11
2022,"Saskatchewan","Under 18 years","Both sexes","Total",47,13.6
2022,"Saskatchewan","18 to 64 years","Both sexes","Total",47,11.7
2022,"Saskatchewan","65 years and over","Both sexes","Total",47,5.1
2022,"Saskatchewan","Total","Both sexes","Persons in economic families",47,8.2
2022,"Saskatchewan","65 years and over","Both sexes","Seniors in economic families",47,2.4
2022,"Saskatchewan","Under 18 years","Both sexes","Persons in economic families",47,13.5
2022,"Saskatchewan","Under 18 years","Both sexes","Persons in couple families with children",47,6.9
2022,"Saskatchewan","Under 18 years","Both sexes","Persons in all other economic families",47,24.5
2022,"Saskatchewan","18 to 64 years","Both sexes","Persons in economic families",47,7.2
2022,"Saskatchewan","Total","Both sexes","Persons not in an economic family",47,25
2022,"Saskatchewan","65 years and over","Both sexes","Seniors not in an economic family",47,11
2022,"Saskatchewan","","Both sexes","Non-seniors not in an economic family",47,31.6
2023,"Saskatchewan","Total","Both sexes","Total",47,12.3
2023,"Saskatchewan","Under 18 years","Both sexes","Total",47,15.2
2023,"Saskatchewan","18 to 64 years","Both sexes","Total",47,13.4
2023,"Saskatchewan","65 years and over","Both sexes","Total",47,4.9
2023,"Saskatchewan","Total","Both sexes","Persons in economic families",47,9.4
2023,"Saskatchewan","65 years and over","Both sexes","Seniors in economic families",47,2.4
2023,"Saskatchewan","Under 18 years","Both sexes","Persons in economic families",47,15
2023,"Saskatchewan","Under 18 years","Both sexes","Persons in couple families with children",47,10
2023,"Saskatchewan","Under 18 years","Both sexes","Persons in all other economic families",47,16.1
2023,"Saskatchewan","18 to 64 years","Both sexes","Persons in economic families",47,8.5
2023,"Saskatchewan","Total","Both sexes","Persons not in an economic family",47,27.4
2023,"Saskatchewan","65 years and over","Both sexes","Seniors not in an economic family",47,10.8
2023,"Saskatchewan","","Both sexes","Non-seniors not in an economic family",47,35.4
2018,"Territories","Total","Both sexes","Total",,22.6
2018,"Territories","Under 18 years","Both sexes","Total",,31.3
2018,"Territories","18 to 64 years","Both sexes","Total",,18.6
2018,"Territories","65 years and over","Both sexes","Total",,25.2
2018,"Territories","Total","Both sexes","Persons in economic families",,22.1
2018,"Territories","65 years and over","Both sexes","Seniors in economic families",,17.2
2018,"Territories","Under 18 years","Both sexes","Persons in economic families",,31.3
2018,"Territories","Under 18 years","Both sexes","Persons in couple families with children",,28.8
2018,"Territories","18 to 64 years","Both sexes","Persons in economic families",,17.8
2018,"Territories","Total","Both sexes","Persons not in an economic family",,25.2
2018,"Territories","65 years and over","Both sexes","Seniors not in an economic family",,37.1
2018,"Territories","","Both sexes","Non-seniors not in an economic family",,22
2019,"Territories","Total","Both sexes","Total",,18.7
2019,"Territories","Under 18 years","Both sexes","Total",,25.3
2019,"Territories","18 to 64 years","Both sexes","Total",,15.8
2019,"Territories","65 years and over","Both sexes","Total",,18.9
2019,"Territories","Total","Both sexes","Persons in economic families",,17.6
2019,"Territories","65 years and over","Both sexes","Seniors in economic families",,10.1
2019,"Territories","Under 18 years","Both sexes","Persons in economic families",,25.3
2019,"Territories","Under 18 years","Both sexes","Persons in couple families with children",,22.4
2019,"Territories","18 to 64 years","Both sexes","Persons in economic families",,14.2
2019,"Territories","Total","Both sexes","Persons not in an economic family",,24.8
2019,"Territories","65 years and over","Both sexes","Seniors not in an economic family",,33
2019,"Territories","","Both sexes","Non-seniors not in an economic family",,22.7
2020,"Territories","Total","Both sexes","Total",,16.3
2020,"Territories","Under 18 years","Both sexes","Total",,22.8
2020,"Territories","18 to 64 years","Both sexes","Total",,14.5
2020,"Territories","65 years and over","Both sexes","Total",,9.8
2020,"Territories","Total","Both sexes","Persons in economic families",,14.8
2020,"Territories","Under 18 years","Both sexes","Persons in economic families",,22.7
2020,"Territories","Under 18 years","Both sexes","Persons in couple families with children",,21.5
2020,"Territories","18 to 64 years","Both sexes","Persons in economic families",,11.7
2020,"Territories","Total","Both sexes","Persons not in an economic family",,23.9
2020,"Territories","","Both sexes","Non-seniors not in an economic family",,25.5
2021,"Territories","Total","Both sexes","Total",,16.8
2021,"Territories","Under 18 years","Both sexes","Total",,22.2
2021,"Territories","18 to 64 years","Both sexes","Total",,15.3
2021,"Territories","65 years and over","Both sexes","Total",,11.4
2021,"Territories","Total","Both sexes","Persons in economic families",,15.4
2021,"Territories","Under 18 years","Both sexes","Persons in economic families",,22
2021,"Territories","Under 18 years","Both sexes","Persons in couple families with children",,13.6
2021,"Territories","Under 18 years","Both sexes","Persons in all other economic families",,41.6
2021,"Territories","18 to 64 years","Both sexes","Persons in economic families",,13
2021,"Territories","Total","Both sexes","Persons not in an economic family",,23.7
2021,"Territories","","Both sexes","Non-seniors not in an economic family",,25.3
2022,"Territories","Total","Both sexes","Total",,21.4
2022,"Territories","Under 18 years","Both sexes","Total",,29.1
2022,"Territories","18 to 64 years","Both sexes","Total",,18.5
2022,"Territories","65 years and over","Both sexes","Total",,20.4
2022,"Territories","Total","Both sexes","Persons in economic families",,20.1
2022,"Territories","65 years and over","Both sexes","Seniors in economic families",,12
2022,"Territories","Under 18 years","Both sexes","Persons in economic families",,29
2022,"Territories","Under 18 years","Both sexes","Persons in couple families with children",,26.3
2022,"Territories","Under 18 years","Both sexes","Persons in all other economic families",,41.6
2022,"Territories","18 to 64 years","Both sexes","Persons in economic families",,16.4
2022,"Territories","Total","Both sexes","Persons not in an economic family",,28.4
2022,"Territories","65 years and over","Both sexes","Seniors not in an economic family",,31.4
2022,"Territories","","Both sexes","Non-seniors not in an economic family",,27.4
2023,"Territories","Total","Both sexes","Total",,18.5
2023,"Territories","Under 18 years","Both sexes","Total",,24.6
2023,"Territories","18 to 64 years","Both sexes","Total",,15.9
2023,"Territories","65 years and over","Both sexes","Total",,19.7
2023,"Territories","Total","Both sexes","Persons in economic families",,17.1
2023,"Territories","65 years and over","Both sexes","Seniors in economic families",,13.9
2023,"Territories","Under 18 years","Both sexes","Persons in economic families",,24.6
2023,"Territories","Under 18 years","Both sexes","Persons in couple families with children",,20.4
2023,"Territories","18 to 64 years","Both sexes","Persons in economic families",,13.8
2023,"Territories","Total","Both sexes","Persons not in an economic family",,25.4
2023,"Territories","65 years and over","Both sexes","Seniors not in an economic family",,28.1
2023,"Territories","","Both sexes","Non-seniors not in an economic family",,24.6
2015,"Toronto, Ontario","Total","Both sexes","Total",,19.2
2015,"Toronto, Ontario","Under 18 years","Both sexes","Total",,23.9
2015,"Toronto, Ontario","18 to 64 years","Both sexes","Total",,19.9
2015,"Toronto, Ontario","65 years and over","Both sexes","Total",,8.6
2015,"Toronto, Ontario","Total","Both sexes","Persons in economic families",,16
2015,"Toronto, Ontario","65 years and over","Both sexes","Seniors in economic families",,5.9
2015,"Toronto, Ontario","Under 18 years","Both sexes","Persons in economic families",,23.9
2015,"Toronto, Ontario","Under 18 years","Both sexes","Persons in couple families with children",,23.1
2015,"Toronto, Ontario","18 to 64 years","Both sexes","Persons in economic families",,15
2015,"Toronto, Ontario","Total","Both sexes","Persons not in an economic family",,39.6
2015,"Toronto, Ontario","65 years and over","Both sexes","Seniors not in an economic family",,18.2
2015,"Toronto, Ontario","","Both sexes","Non-seniors not in an economic family",,45.1
2016,"Toronto, Ontario","Total","Both sexes","Total",,17.6
2016,"Toronto, Ontario","Under 18 years","Both sexes","Total",,21
2016,"Toronto, Ontario","18 to 64 years","Both sexes","Total",,18.2
2016,"Toronto, Ontario","65 years and over","Both sexes","Total",,9.8
2016,"Toronto, Ontario","Total","Both sexes","Persons in economic families",,14.7
2016,"Toronto, Ontario","65 years and over","Both sexes","Seniors in economic families",,6.9
2016,"Toronto, Ontario","Under 18 years","Both sexes","Persons in economic families",,21
2016,"Toronto, Ontario","Under 18 years","Both sexes","Persons in couple families with children",,16.3
2016,"Toronto, Ontario","18 to 64 years","Both sexes","Persons in economic families",,13.9
2016,"Toronto, Ontario","Total","Both sexes","Persons not in an economic family",,37.1
2016,"Toronto, Ontario","65 years and over","Both sexes","Seniors not in an economic family",,20.5
2016,"Toronto, Ontario","","Both sexes","Non-seniors not in an economic family",,42.2
2017,"Toronto, Ontario","Total","Both sexes","Total",,14.4
2017,"Toronto, Ontario","Under 18 years","Both sexes","Total",,15.4
2017,"Toronto, Ontario","18 to 64 years","Both sexes","Total",,15.6
2017,"Toronto, Ontario","65 years and over","Both sexes","Total",,7.2
2017,"Toronto, Ontario","Total","Both sexes","Persons in economic families",,11.4
2017,"Toronto, Ontario","65 years and over","Both sexes","Seniors in economic families",,4.2
2017,"Toronto, Ontario","Under 18 years","Both sexes","Persons in economic families",,15.1
2017,"Toronto, Ontario","Under 18 years","Both sexes","Persons in couple families with children",,12.5
2017,"Toronto, Ontario","18 to 64 years","Both sexes","Persons in economic families",,11.4
2017,"Toronto, Ontario","Total","Both sexes","Persons not in an economic family",,35.5
2017,"Toronto, Ontario","65 years and over","Both sexes","Seniors not in an economic family",,17.5
2017,"Toronto, Ontario","","Both sexes","Non-seniors not in an economic family",,41.3
2018,"Toronto, Ontario","Total","Both sexes","Total",,13.9
2018,"Toronto, Ontario","Under 18 years","Both sexes","Total",,14.5
2018,"Toronto, Ontario","18 to 64 years","Both sexes","Total",,15.1
2018,"Toronto, Ontario","65 years and over","Both sexes","Total",,7.7
2018,"Toronto, Ontario","Total","Both sexes","Persons in economic families",,9.9
2018,"Toronto, Ontario","65 years and over","Both sexes","Seniors in economic families",,4.1
2018,"Toronto, Ontario","Under 18 years","Both sexes","Persons in economic families",,14
2018,"Toronto, Ontario","Under 18 years","Both sexes","Persons in couple families with children",,10.3
2018,"Toronto, Ontario","18 to 64 years","Both sexes","Persons in economic families",,9.7
2018,"Toronto, Ontario","Total","Both sexes","Persons not in an economic family",,37.1
2018,"Toronto, Ontario","65 years and over","Both sexes","Seniors not in an economic family",,18.4
2018,"Toronto, Ontario","","Both sexes","Non-seniors not in an economic family",,43.7
2019,"Toronto, Ontario","Total","Both sexes","Total",,13.1
2019,"Toronto, Ontario","Under 18 years","Both sexes","Total",,16.6
2019,"Toronto, Ontario","18 to 64 years","Both sexes","Total",,13.2
2019,"Toronto, Ontario","65 years and over","Both sexes","Total",,8.2
2019,"Toronto, Ontario","Total","Both sexes","Persons in economic families",,11
2019,"Toronto, Ontario","65 years and over","Both sexes","Seniors in economic families",,6.2
2019,"Toronto, Ontario","Under 18 years","Both sexes","Persons in economic families",,16.6
2019,"Toronto, Ontario","Under 18 years","Both sexes","Persons in couple families with children",,13
2019,"Toronto, Ontario","18 to 64 years","Both sexes","Persons in economic families",,10
2019,"Toronto, Ontario","Total","Both sexes","Persons not in an economic family",,27.2
2019,"Toronto, Ontario","65 years and over","Both sexes","Seniors not in an economic family",,13.3
2019,"Toronto, Ontario","","Both sexes","Non-seniors not in an economic family",,33.6
2020,"Toronto, Ontario","Total","Both sexes","Total",,8.7
2020,"Toronto, Ontario","Under 18 years","Both sexes","Total",,9.1
2020,"Toronto, Ontario","18 to 64 years","Both sexes","Total",,9.6
2020,"Toronto, Ontario","65 years and over","Both sexes","Total",,4.3
2020,"Toronto, Ontario","Total","Both sexes","Persons in economic families",,5.6
2020,"Toronto, Ontario","65 years and over","Both sexes","Seniors in economic families",,2.2
2020,"Toronto, Ontario","Under 18 years","Both sexes","Persons in economic families",,8.9
2020,"Toronto, Ontario","Under 18 years","Both sexes","Persons in couple families with children",,5.9
2020,"Toronto, Ontario","18 to 64 years","Both sexes","Persons in economic families",,5.1
2020,"Toronto, Ontario","Total","Both sexes","Persons not in an economic family",,27.2
2020,"Toronto, Ontario","65 years and over","Both sexes","Seniors not in an economic family",,10.4
2020,"Toronto, Ontario","","Both sexes","Non-seniors not in an economic family",,32.9
2021,"Toronto, Ontario","Total","Both sexes","Total",,9.6
2021,"Toronto, Ontario","Under 18 years","Both sexes","Total",,9.1
2021,"Toronto, Ontario","18 to 64 years","Both sexes","Total",,10.2
2021,"Toronto, Ontario","65 years and over","Both sexes","Total",,7.3
2021,"Toronto, Ontario","Total","Both sexes","Persons in economic families",,6.3
2021,"Toronto, Ontario","65 years and over","Both sexes","Seniors in economic families",,3.3
2021,"Toronto, Ontario","Under 18 years","Both sexes","Persons in economic families",,9
2021,"Toronto, Ontario","Under 18 years","Both sexes","Persons in couple families with children",,7.7
2021,"Toronto, Ontario","18 to 64 years","Both sexes","Persons in economic families",,6.1
2021,"Toronto, Ontario","Total","Both sexes","Persons not in an economic family",,27.6
2021,"Toronto, Ontario","65 years and over","Both sexes","Seniors not in an economic family",,18.8
2021,"Toronto, Ontario","","Both sexes","Non-seniors not in an economic family",,30.7
2022,"Toronto, Ontario","Total","Both sexes","Total",,13
2022,"Toronto, Ontario","Under 18 years","Both sexes","Total",,13.7
2022,"Toronto, Ontario","18 to 64 years","Both sexes","Total",,13.7
2022,"Toronto, Ontario","65 years and over","Both sexes","Total",,9.4
2022,"Toronto, Ontario","Total","Both sexes","Persons in economic families",,9.4
2022,"Toronto, Ontario","65 years and over","Both sexes","Seniors in economic families",,5.7
2022,"Toronto, Ontario","Under 18 years","Both sexes","Persons in economic families",,13.6
2022,"Toronto, Ontario","Under 18 years","Both sexes","Persons in couple families with children",,11.6
2022,"Toronto, Ontario","Under 18 years","Both sexes","Persons in all other economic families",,12.4
2022,"Toronto, Ontario","18 to 64 years","Both sexes","Persons in economic families",,8.7
2022,"Toronto, Ontario","Total","Both sexes","Persons not in an economic family",,33.3
2022,"Toronto, Ontario","65 years and over","Both sexes","Seniors not in an economic family",,20.4
2022,"Toronto, Ontario","","Both sexes","Non-seniors not in an economic family",,38
2023,"Toronto, Ontario","Total","Both sexes","Total",,13.9
2023,"Toronto, Ontario","Under 18 years","Both sexes","Total",,16.4
2023,"Toronto, Ontario","18 to 64 years","Both sexes","Total",,14.6
2023,"Toronto, Ontario","65 years and over","Both sexes","Total",,8
2023,"Toronto, Ontario","Total","Both sexes","Persons in economic families",,10.6
2023,"Toronto, Ontario","65 years and over","Both sexes","Seniors in economic families",,5.6
2023,"Toronto, Ontario","Under 18 years","Both sexes","Persons in economic families",,16.3
2023,"Toronto, Ontario","Under 18 years","Both sexes","Persons in couple families with children",,13.8
2023,"Toronto, Ontario","Under 18 years","Both sexes","Persons in all other economic families",,8.9
2023,"Toronto, Ontario","18 to 64 years","Both sexes","Persons in economic families",,9.9
2023,"Toronto, Ontario","Total","Both sexes","Persons not in an economic family",,32
2023,"Toronto, Ontario","65 years and over","Both sexes","Seniors not in an economic family",,15.3
2023,"Toronto, Ontario","","Both sexes","Non-seniors not in an economic family",,37.8
2015,"Vancouver, British Columbia","Total","Both sexes","Total",,19.5
2015,"Vancouver, British Columbia","Under 18 years","Both sexes","Total",,18.3
2015,"Vancouver, British Columbia","18 to 64 years","Both sexes","Total",,20.7
2015,"Vancouver, British Columbia","65 years and over","Both sexes","Total",,15.3
2015,"Vancouver, British Columbia","Total","Both sexes","Persons in economic families",,14.3
2015,"Vancouver, British Columbia","Under 18 years","Both sexes","Persons in economic families",,17.5
2015,"Vancouver, British Columbia","Under 18 years","Both sexes","Persons in couple families with children",,17.3
2015,"Vancouver, British Columbia","18 to 64 years","Both sexes","Persons in economic families",,14.4
2015,"Vancouver, British Columbia","Total","Both sexes","Persons not in an economic family",,44
2015,"Vancouver, British Columbia","65 years and over","Both sexes","Seniors not in an economic family",,34.3
2015,"Vancouver, British Columbia","","Both sexes","Non-seniors not in an economic family",,46.9
2016,"Vancouver, British Columbia","Total","Both sexes","Total",,15.6
2016,"Vancouver, British Columbia","Under 18 years","Both sexes","Total",,18.4
2016,"Vancouver, British Columbia","18 to 64 years","Both sexes","Total",,16.2
2016,"Vancouver, British Columbia","65 years and over","Both sexes","Total",,10
2016,"Vancouver, British Columbia","Total","Both sexes","Persons in economic families",,12.2
2016,"Vancouver, British Columbia","Under 18 years","Both sexes","Persons in economic families",,18.3
2016,"Vancouver, British Columbia","Under 18 years","Both sexes","Persons in couple families with children",,16.1
2016,"Vancouver, British Columbia","18 to 64 years","Both sexes","Persons in economic families",,11.9
2016,"Vancouver, British Columbia","Total","Both sexes","Persons not in an economic family",,35
2016,"Vancouver, British Columbia","65 years and over","Both sexes","Seniors not in an economic family",,25.9
2016,"Vancouver, British Columbia","","Both sexes","Non-seniors not in an economic family",,38.2
2017,"Vancouver, British Columbia","Total","Both sexes","Total",,16
2017,"Vancouver, British Columbia","Under 18 years","Both sexes","Total",,13.5
2017,"Vancouver, British Columbia","18 to 64 years","Both sexes","Total",,17.3
2017,"Vancouver, British Columbia","65 years and over","Both sexes","Total",,13
2017,"Vancouver, British Columbia","Total","Both sexes","Persons in economic families",,11.7
2017,"Vancouver, British Columbia","65 years and over","Both sexes","Seniors in economic families",,9.2
2017,"Vancouver, British Columbia","Under 18 years","Both sexes","Persons in economic families",,13.5
2017,"Vancouver, British Columbia","Under 18 years","Both sexes","Persons in couple families with children",,11.8
2017,"Vancouver, British Columbia","18 to 64 years","Both sexes","Persons in economic families",,11.7
2017,"Vancouver, British Columbia","Total","Both sexes","Persons not in an economic family",,37.1
2017,"Vancouver, British Columbia","65 years and over","Both sexes","Seniors not in an economic family",,23.9
2017,"Vancouver, British Columbia","","Both sexes","Non-seniors not in an economic family",,41.2
2018,"Vancouver, British Columbia","Total","Both sexes","Total",,13.6
2018,"Vancouver, British Columbia","Under 18 years","Both sexes","Total",,10.4
2018,"Vancouver, British Columbia","18 to 64 years","Both sexes","Total",,15.4
2018,"Vancouver, British Columbia","65 years and over","Both sexes","Total",,9
2018,"Vancouver, British Columbia","Total","Both sexes","Persons in economic families",,9.2
2018,"Vancouver, British Columbia","65 years and over","Both sexes","Seniors in economic families",,4.2
2018,"Vancouver, British Columbia","Under 18 years","Both sexes","Persons in economic families",,10.4
2018,"Vancouver, British Columbia","Under 18 years","Both sexes","Persons in couple families with children",,10.5
2018,"Vancouver, British Columbia","18 to 64 years","Both sexes","Persons in economic families",,9.8
2018,"Vancouver, British Columbia","Total","Both sexes","Persons not in an economic family",,33.6
2018,"Vancouver, British Columbia","65 years and over","Both sexes","Seniors not in an economic family",,22.6
2018,"Vancouver, British Columbia","","Both sexes","Non-seniors not in an economic family",,36.8
2019,"Vancouver, British Columbia","Total","Both sexes","Total",,11.7
2019,"Vancouver, British Columbia","Under 18 years","Both sexes","Total",,4.5
2019,"Vancouver, British Columbia","18 to 64 years","Both sexes","Total",,14.9
2019,"Vancouver, British Columbia","65 years and over","Both sexes","Total",,5.6
2019,"Vancouver, British Columbia","Total","Both sexes","Persons in economic families",,6.9
2019,"Vancouver, British Columbia","Under 18 years","Both sexes","Persons in economic families",,4.4
2019,"Vancouver, British Columbia","18 to 64 years","Both sexes","Persons in economic families",,8.3
2019,"Vancouver, British Columbia","Total","Both sexes","Persons not in an economic family",,34.9
2019,"Vancouver, British Columbia","","Both sexes","Non-seniors not in an economic family",,42.9
2020,"Vancouver, British Columbia","Total","Both sexes","Total",,7.9
2020,"Vancouver, British Columbia","Under 18 years","Both sexes","Total",,4.8
2020,"Vancouver, British Columbia","18 to 64 years","Both sexes","Total",,9.6
2020,"Vancouver, British Columbia","65 years and over","Both sexes","Total",,4.4
2020,"Vancouver, British Columbia","Total","Both sexes","Persons in economic families",,4.2
2020,"Vancouver, British Columbia","Under 18 years","Both sexes","Persons in economic families",,4.8
2020,"Vancouver, British Columbia","Under 18 years","Both sexes","Persons in couple families with children",,4.5
2020,"Vancouver, British Columbia","18 to 64 years","Both sexes","Persons in economic families",,4.4
2020,"Vancouver, British Columbia","Total","Both sexes","Persons not in an economic family",,24
2020,"Vancouver, British Columbia","65 years and over","Both sexes","Seniors not in an economic family",,8.7
2020,"Vancouver, British Columbia","","Both sexes","Non-seniors not in an economic family",,29.4
2021,"Vancouver, British Columbia","Total","Both sexes","Total",,9.4
2021,"Vancouver, British Columbia","Under 18 years","Both sexes","Total",,8.5
2021,"Vancouver, British Columbia","18 to 64 years","Both sexes","Total",,9.8
2021,"Vancouver, British Columbia","65 years and over","Both sexes","Total",,8.7
2021,"Vancouver, British Columbia","Total","Both sexes","Persons in economic families",,5.9
2021,"Vancouver, British Columbia","65 years and over","Both sexes","Seniors in economic families",,4.8
2021,"Vancouver, British Columbia","Under 18 years","Both sexes","Persons in economic families",,8.3
