Year,Géographie,data.Type of materials diverted,data.Sources of materials prepared for recycling,Value
2018,Manitoba,data.Electronics,data.All sources of diverted materials,2.235322381
2018,Manitoba,data.Electronics,data.Residential sources of diverted materials,
2018,Manitoba,data.Electronics,data.Non-residential sources of diverted materials,
2018,Manitoba,data.Plastics,data.All sources of diverted materials,5.017648255
2018,Manitoba,data.Plastics,data.Residential sources of diverted materials,4.239277068
2018,Manitoba,data.Plastics,data.Non-residential sources of diverted materials,0.778371186
2018,Manitoba,data.Gable top and aseptic containers,data.All sources of diverted materials,
2018,Manitoba,data.Gable top and aseptic containers,data.Residential sources of diverted materials,
2018,Manitoba,data.Gable top and aseptic containers,data.Non-residential sources of diverted materials,
2018,Manitoba,data.Textiles,data.All sources of diverted materials,
2018,Manitoba,data.Textiles,data.Residential sources of diverted materials,
2018,Manitoba,data.Textiles,data.Non-residential sources of diverted materials,
2018,Manitoba,data.Tires,data.All sources of diverted materials,11.83079851
2018,Manitoba,data.Tires,data.Residential sources of diverted materials,
2018,Manitoba,data.Tires,data.Non-residential sources of diverted materials,
2018,Manitoba,data.Construction + renovation and demolition,data.All sources of diverted materials,2.953818861
2018,Manitoba,data.Construction + renovation and demolition,data.Residential sources of diverted materials,1.910077061
2018,Manitoba,data.Construction + renovation and demolition,data.Non-residential sources of diverted materials,1.0437418
