Year,Units,Géographie,Type de famille économique,GeoCode,Value
2015,Dollars constants de 2024,"Montréal, Québec",Personnes hors famille économique,,35800.0
2015,Dollars constants de 2024,"Montréal, Québec",Personnes âgées hors famille économique,,34400.0
2015,Dollars constants de 2024,"Montréal, Québec",Senior men+ not in an economic family,,32900.0
2015,Dollars constants de 2024,"Montréal, Québec",Senior women+ not in an economic family,,35900.0
2015,Dollars constants de 2024,"Montréal, Québec",Personnes non âgées hors famille économique,,36300.0
2015,Dollars constants de 2024,"Montréal, Québec",Non-senior men+ not in an economic family,,41000.0
2015,Dollars constants de 2024,"Montréal, Québec",Non-senior women+ not in an economic family,,32100.0
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",Familles économiques et personnes hors famille économique,,75600.0
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",Familles économiques,,115400.0
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",Familles de personnes âgées,,98800.0
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",Couples de personnes âgées,,93100.0
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",Autres familles de personnes âgées,,
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",Familles de personnes non âgées,,122000.0
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",Couples,,111300.0
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",Couples avec des enfants,,143600.0
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",Couples avec d'autres personnes apparentées,,178800.0
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",One-parent families,,61700.0
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",One-parent families in which the parent is a man+,,
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",One-parent families in which the parent is a woman+,,46000.0
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",Autres familles de personnes non âgées,,67600.0
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",Personnes hors famille économique,,39400.0
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",Personnes âgées hors famille économique,,39600.0
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",Senior men+ not in an economic family,,
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",Senior women+ not in an economic family,,44000.0
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",Personnes non âgées hors famille économique,,38800.0
2015,Dollars constants de 2024,"Ottawa-Gatineau, Ontario/Québec",Non-senior men+ not in an economic family,,43200.0
