Year,Géographie,Type de poste de recharge ou de ravitaillement,GeoCode,Value
2015,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,14
2015,Saskatchewan,Électrique,47,8
2015,Saskatchewan,Propane,47,6
2016,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,18
2016,Saskatchewan,Électrique,47,12
2017,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,22
2017,Saskatchewan,Électrique,47,16
2018,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,88
2018,Saskatchewan,Électrique,47,17
2018,Saskatchewan,Propane,47,71
2019,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,100
2019,Saskatchewan,Électrique,47,27
2019,Saskatchewan,Propane,47,73
2021,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,117
2021,Saskatchewan,Électrique,47,44
2022,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,152
2022,Saskatchewan,Électrique,47,79
2023,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,193
2023,Saskatchewan,Électrique,47,120
2024,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,226
2024,Saskatchewan,Électrique,47,153
2025,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,265
2025,Saskatchewan,Électrique,47,192
2026,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,278
2026,Saskatchewan,Électrique,47,205
2019,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,4
2019,Yukon,Électrique,60,2
2019,Yukon,Propane,60,2
2020,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,7
2020,Yukon,Électrique,60,5
2022,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,13
2022,Yukon,Électrique,60,11
2023,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,24
2023,Yukon,Électrique,60,22
2024,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,28
2024,Yukon,Électrique,60,26
